"Start rapportage","Einde rapportage",Campagnenaam,Campagneweergave,Resultaten,Resultatenindicator,"Kosten per resultaten","Budget advertentieset","Budgettype advertentieset","Besteed bedrag (EUR)",Weergaven,Bereik,Frequentie,"CPM (kosten per 1000 weergaven) (EUR)","Klikken op links","Eindigt op",Toeschrijvingsinstelling
2026-07-01,2026-07-31,"01 | Leads campagne - Rolluiken",active,,,,"Advertentiesetbudget wordt gebruikt",0,11722.74,1133264,497030,2.280072,10.344227,10071,Actief,"Meerdere toeschrijvingsinstellingen"
2026-07-01,2026-07-31,"02 | Retargeting | Leads",inactive,,,,60,Dagelijks,0,0,0,0,0,,Actief,"Meerdere toeschrijvingsinstellingen"
2026-07-01,2026-07-31,"03 | Leadscampagne - Zonwering",active,359,actions:offsite_conversion.custom.1038235077923271,20.42573816,240,Dagelijks,7332.84,735820,295987,2.485988,9.965535,7864,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-07-01,2026-07-31,"04 | Leadscampagne - Pergola",active,131,actions:offsite_conversion.custom.1038235077923271,16.58732824,78,Dagelijks,2172.94,146084,61502,2.375272,14.874593,2186,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-07-01,2026-07-31,"05 | Leads - Screens",active,126,actions:offsite_conversion.custom.1038235077923271,17.34325397,78,Dagelijks,2185.25,199956,92459,2.162645,10.928654,2242,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-07-01,2026-07-31,"06 | Gordijnen",active,24,actions:offsite_conversion.custom.1038235077923271,50.07625,40,Dagelijks,1201.83,70636,22965,3.075811,17.014412,842,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-07-01,2026-07-31,"07 | Leadscampagne - Markiezen",active,26,actions:offsite_conversion.custom.1038235077923271,31.73384615,45,Dagelijks,825.08,58714,22771,2.578455,14.052526,646,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
