"Start rapportage","Einde rapportage",Campagnenaam,Campagneweergave,Resultaten,Resultatenindicator,"Kosten per resultaten","Budget advertentieset","Budgettype advertentieset","Besteed bedrag (EUR)",Weergaven,Bereik,Frequentie,"CPM (kosten per 1000 weergaven) (EUR)","Klikken op links","Eindigt op",Toeschrijvingsinstelling
2026-03-01,2026-03-31,"01 | Leads campagne - Rolluiken",active,,,,"Advertentiesetbudget wordt gebruikt",0,17266.22,1686416,649134,2.597947,10.238411,12604,Actief,"Meerdere toeschrijvingsinstellingen"
2026-03-01,2026-03-31,"02 | Retargeting | Leads",inactive,,,,60,Dagelijks,2091.35,94124,13873,6.78469,22.219094,2547,Actief,"Meerdere toeschrijvingsinstellingen"
2026-03-01,2026-03-31,"03 | Leadscampagne - Zonwering",active,189,actions:offsite_conversion.custom.1038235077923271,22.29169312,240,Dagelijks,4213.13,384060,138973,2.763558,10.969979,3412,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-03-01,2026-03-31,"04 | Leadscampagne - Pergola",active,101,actions:offsite_conversion.custom.1038235077923271,17.69029703,78,Dagelijks,1786.72,131134,61041,2.148294,13.625147,1710,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-03-01,2026-03-31,"05 | Leads - Screens",active,39,actions:offsite_conversion.custom.1038235077923271,46.10846154,78,Dagelijks,1798.23,164420,69953,2.350435,10.936808,1261,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-03-01,2026-03-31,"06 | Gordijnen",active,25,actions:offsite_conversion.custom.1038235077923271,60.2092,40,Dagelijks,1505.23,103666,32749,3.165471,14.519997,3078,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-03-01,2026-03-31,"07 | Leadscampagne - Markiezen",active,6,actions:offsite_conversion.custom.1038235077923271,59.825,45,Dagelijks,358.95,26521,14631,1.812658,13.534558,336,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
