"Start rapportage","Einde rapportage",Campagnenaam,Campagneweergave,Resultaten,Resultatenindicator,"Kosten per resultaten","Budget advertentieset","Budgettype advertentieset","Besteed bedrag (EUR)",Weergaven,Bereik,Frequentie,"CPM (kosten per 1000 weergaven) (EUR)","Klikken op links","Eindigt op",Toeschrijvingsinstelling
2026-06-01,2026-06-30,"01 | Leads campagne - Rolluiken",active,,,,"Advertentiesetbudget wordt gebruikt",0,12608.17,1170892,545227,2.147531,10.768004,11749,Actief,"Meerdere toeschrijvingsinstellingen"
2026-06-01,2026-06-30,"02 | Retargeting | Leads",inactive,,,,60,Dagelijks,0,0,0,0,0,,Actief,"Meerdere toeschrijvingsinstellingen"
2026-06-01,2026-06-30,"03 | Leadscampagne - Zonwering",active,358,actions:offsite_conversion.custom.1038235077923271,20.12597765,240,Dagelijks,7205.1,625326,248763,2.513742,11.52215,6709,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-06-01,2026-06-30,"04 | Leadscampagne - Pergola",active,103,actions:offsite_conversion.custom.1038235077923271,16.53135922,78,Dagelijks,1702.73,104105,53126,1.959587,16.355891,1602,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-06-01,2026-06-30,"05 | Leads - Screens",active,62,actions:offsite_conversion.custom.1038235077923271,28.07629032,78,Dagelijks,1740.73,126930,56152,2.260472,13.714094,1461,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-06-01,2026-06-30,"06 | Gordijnen",active,32,actions:offsite_conversion.custom.1038235077923271,38.2928125,40,Dagelijks,1225.37,77563,30362,2.554608,15.798383,940,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-06-01,2026-06-30,"07 | Leadscampagne - Markiezen",active,20,actions:offsite_conversion.custom.1038235077923271,36.7765,45,Dagelijks,735.53,54441,23199,2.346696,13.510589,528,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
