"Start rapportage","Einde rapportage",Campagnenaam,Campagneweergave,Resultaten,Resultatenindicator,"Kosten per resultaten","Budget advertentieset","Budgettype advertentieset","Besteed bedrag (EUR)",Weergaven,Bereik,Frequentie,"CPM (kosten per 1000 weergaven) (EUR)","Klikken op links","Eindigt op",Toeschrijvingsinstelling
2026-05-01,2026-05-31,"01 | Leads campagne - Rolluiken",active,,,,"Advertentiesetbudget wordt gebruikt",0,13022.44,1235228,567341,2.177223,10.54254,13042,Actief,"Meerdere toeschrijvingsinstellingen"
2026-05-01,2026-05-31,"02 | Retargeting | Leads",inactive,,,,60,Dagelijks,0,0,0,0,0,,Actief,"Meerdere toeschrijvingsinstellingen"
2026-05-01,2026-05-31,"03 | Leadscampagne - Zonwering",active,371,actions:offsite_conversion.custom.1038235077923271,19.90053908,240,Dagelijks,7383.1,694841,279086,2.489702,10.625596,6827,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-05-01,2026-05-31,"04 | Leadscampagne - Pergola",active,98,actions:offsite_conversion.custom.1038235077923271,17.39653061,78,Dagelijks,1704.86,108640,57332,1.894928,15.692747,1722,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-05-01,2026-05-31,"05 | Leads - Screens",active,58,actions:offsite_conversion.custom.1038235077923271,29.37637931,78,Dagelijks,1703.83,126826,54038,2.346978,13.43439,1130,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-05-01,2026-05-31,"06 | Gordijnen",active,30,actions:offsite_conversion.custom.1038235077923271,40.82333333,40,Dagelijks,1224.7,74292,25349,2.930767,16.484951,1253,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-05-01,2026-05-31,"07 | Leadscampagne - Markiezen",active,10,actions:offsite_conversion.custom.1038235077923271,38.015,45,Dagelijks,380.15,23990,10960,2.188869,15.846186,289,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
