"Start rapportage","Einde rapportage",Campagnenaam,Campagneweergave,Resultaten,Resultatenindicator,"Kosten per resultaten","Budget advertentieset","Budgettype advertentieset","Besteed bedrag (EUR)",Weergaven,Bereik,Frequentie,"CPM (kosten per 1000 weergaven) (EUR)","Klikken op links","Eindigt op",Toeschrijvingsinstelling
2026-02-01,2026-02-28,"01 | Leads campagne - Rolluiken",active,,,,"Advertentiesetbudget wordt gebruikt",0,13433.08,1349299,522832,2.580751,9.955599,10256,Actief,"Meerdere toeschrijvingsinstellingen"
2026-02-01,2026-02-28,"02 | Retargeting | Leads",inactive,,,,60,Dagelijks,1956.87,90469,15025,6.021231,21.630282,2225,Actief,"Meerdere toeschrijvingsinstellingen"
2026-02-01,2026-02-28,"03 | Leadscampagne - Zonwering",active,36,actions:offsite_conversion.custom.1038235077923271,35.76888889,240,Dagelijks,1287.68,113774,57793,1.968647,11.317876,709,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-02-01,2026-02-28,"04 | Leadscampagne - Pergola",active,75,actions:offsite_conversion.custom.1038235077923271,22.3488,78,Dagelijks,1676.16,126995,62702,2.025374,13.19863,1479,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-02-01,2026-02-28,"05 | Leads - Screens",active,29,actions:offsite_conversion.custom.1038235077923271,54.57448276,78,Dagelijks,1582.66,142237,68191,2.085862,11.126922,1016,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-02-01,2026-02-28,"06 | Gordijnen",active,13,actions:offsite_conversion.custom.1038235077923271,107.52615385,40,Dagelijks,1397.84,92264,29402,3.138018,15.150438,3661,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
