"Start rapportage","Einde rapportage",Campagnenaam,Campagneweergave,Resultaten,Resultatenindicator,"Kosten per resultaten","Budget advertentieset","Budgettype advertentieset","Besteed bedrag (EUR)",Weergaven,Bereik,Frequentie,"CPM (kosten per 1000 weergaven) (EUR)","Klikken op links","Eindigt op",Toeschrijvingsinstelling
2026-04-01,2026-04-30,"01 | Leads campagne - Rolluiken",active,,,,"Advertentiesetbudget wordt gebruikt",0,12947.65,1317014,594362,2.215845,9.831065,13502,Actief,"Meerdere toeschrijvingsinstellingen"
2026-04-01,2026-04-30,"02 | Retargeting | Leads",inactive,,,,60,Dagelijks,0,0,0,0,0,,Actief,"Meerdere toeschrijvingsinstellingen"
2026-04-01,2026-04-30,"03 | Leadscampagne - Zonwering",active,330,actions:offsite_conversion.custom.1038235077923271,18.35381818,240,Dagelijks,6056.76,574123,212214,2.705396,10.549586,5738,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-04-01,2026-04-30,"04 | Leadscampagne - Pergola",active,63,actions:offsite_conversion.custom.1038235077923271,24.73666667,78,Dagelijks,1558.41,101840,46206,2.204043,15.302533,1583,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-04-01,2026-04-30,"05 | Leads - Screens",active,54,actions:offsite_conversion.custom.1038235077923271,28.73259259,78,Dagelijks,1551.56,118942,53867,2.208068,13.044677,1029,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-04-01,2026-04-30,"06 | Gordijnen",active,24,actions:offsite_conversion.custom.1038235077923271,50.10958333,40,Dagelijks,1202.63,85692,27396,3.127902,14.034332,2661,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
2026-04-01,2026-04-30,"07 | Leadscampagne - Markiezen",active,15,actions:offsite_conversion.custom.1038235077923271,47.24666667,45,Dagelijks,708.7,49613,20755,2.390412,14.284563,670,Actief,"7 dagen voor klikken, 1 dag voor weergaven of 1 dag voor betrokken weergaven"
