datum;factuur;product;omschrijving;aantal;prijs;eenheid
2025-08-18;1394;Rolhor Unilux (20108);<p>Breedte (dagmaat): &nbsp,703 mm</p><p>Hoogte (dagmaat): 1478 mm</p><p>Type kozijn: Hout</p><p>Systeemkleur: RAL 7016<;1;304.96;stuks
2025-08-18;1394;Rolhor Unilux (20108);<p>Breedte (dagmaat): &nbsp,661 mm</p><p>Hoogte (dagmaat): 1530 mm</p><p>Type kozijn: Hout</p><p>Systeemkleur: RAL 7016<;1;304.96;stuks
2025-08-18;1394;Rolhor Unilux (20108);<p>Breedte (dagmaat): &nbsp,993 mm</p><p>Hoogte (dagmaat): 1295 mm</p><p>Type kozijn: Hout</p><p>Systeemkleur: RAL 7016<;1;304.96;stuks
2025-08-18;1394;Montage rolhor super+ (20263);- Montage<p>- Klein materiaal</p>;5;41.32;stuks
2025-08-18;1394;Korting (20090);- 15% korting;1;-690.91;prijs
2025-08-18;1394;Aanbetaling (4);Aanbetaling - factuur 736 van 22-05-2025.;-1;1564.91;prijs
2025-08-18;1395;Rolluik (RollSUPER) (20064);Breedte: 2045 mm<p>Hoogte: &nbsp,1820 mm</p><p>Kastmaat: 170 mm (schuin)</p><p>Kleur Omvatting: RAL 7016</p><p>Kleur Pan;3;1096.69;stuks
2025-08-18;1395;Situo 5 IO (20048);<p>- 5 kanaals afstandsbediening</p>;1;95.04;stuks
2025-08-18;1395;Montage rolluik solar (20241);- Montage<p>- Klein materiaal</p><p>- Afstellen motor</p>;3;123.97;stuks
2025-08-18;1395;Korting (20090);<span style="font-weight: bold,">Tijdelijke actie, 15% korting</span>;1;-564.45;prijs
2025-08-18;1395;Aanbetaling (4);Aanbetaling - factuur 767 van 27-05-2025.;-1;1277.03;prijs
2025-08-18;1400;Zonweringsdoek  (20124);Doek kleur: 5009/12<p>Breedte: 3350 mm</p><p>Uitval: 1700&nbsp,</p><p>Klik pees onderlangs</p>;2;328.93;stuks
2025-08-18;1400;Montage Doek (20127);- Vervangen doek.;2;123.97;stuks
2025-08-18;1400;Aanbetaling (4);Aanbetaling - factuur 739 van 22-05-2025.;-1;362.32;prijs
2025-08-18;1398;Suneye (20131);<p><span style="">Breedte: 3400 mm <span style="font-weight: bold,">(Wij zullen het zijraam ook voorzien van scherm, dit;1;1913.22;stuks
2025-08-18;1398;Montage knikarmscherm standaard. (20267);- Montage d.m.v. chemisch anker<p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;206.61;stuks
2025-08-18;1398;Takelen Zonwering (20098);- takelen van het scherm naar het balkon.;1;61.98;stuks
2025-08-18;1398;Korting (20090);- 15% korting;1;-327.27;prijs
2025-08-18;1398;Aanbetaling (4);Aanbetaling - factuur 795 van 30-05-2025.;-1;741.82;prijs
2025-08-18;1399;Los screendoek (20115);Zoals per mail overlegd;1;879.34;uur
2025-08-18;1396;Houten Markies (20081);<p>Meranti hardhout.</p><p>Breedte: 1800 mm</p><p>Uitval: 1000 mm</p><p>Kleur bies: In kleur</p><p>Bies: band en Nagels.;2;1319.83;stuks
2025-08-18;1396;Montage markies (houten kappen) (20260);- montage<p>- klein materiaal</p>;2;227.27;stuks
2025-08-18;1396;Square 85/100 (half afgeschuind) (20171);Breedte: 1620 mm<p>Hoogte: 1810 mm</p><p>Kastmaat: 85 mm</p><p>Kleur Omvatting: Ral 9001</p><p>Kleur Doek: 71212 Sand</p;1;474.38;stuks
2025-08-18;1396;Montage Screen Handmatig (20274);- Montage<p>- Klein materiaal</p>;1;78.51;stuks
2025-08-18;1396;Korting (20090);&nbsp,<span style="font-weight: bold,">20% korting (Daimy)</span>;1;-730.56;prijs
2025-08-18;1396;Aanbetaling (4);Aanbetaling - factuur 777 van 27-05-2025.;-1;1166.61;prijs
2025-08-18;1401;Inklemhor Unilux (20076);<p><span style="">Breedte (dagmaat): 835 mm</span></p><p>Hoogte (dagmaat): 957 mm</p><p>Type kozijn: Kunststof</p><p>Sys;2;123.14;stuks
2025-08-18;1401;Montage inklemhor. (20261);- Montage inklemhor.;2;16.53;stuks
2025-08-18;1401;Aanbetaling (4);Aanbetaling - factuur 1124 van 15-07-2025.;-1;111.74;prijs
2025-08-19;1402;Suneye (20131);Breedte: 4400 mm<p>Uitval: 3000 mm</p><p>Kleur cassette: RAL 7016 Structuur (antraciet)</p><p>Kleur doek: U140</p><p>Bed;1;2464.46;stuks
2025-08-19;1402;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-08-19;1402;Eolis 3D windsensor IO (20050);- Windbeveiliging in de voorlijst<p>- De windsensor is een hulp stuk hier kunnen geen garantie rechten aan verleend word;1;123.14;stuks
2025-08-19;1402;Somfy Connectivity (20211);- Telefoon bediening Somfy motoren.;1;107.44;stuks
2025-08-19;1402;Montage Knikarmscherm uitgebreid. (20237);- Montage&nbsp,<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;247.93;stuks
2025-08-19;1402;Korting (20090);- 15% korting.;1;-451.24;prijs
2025-08-19;1402;Aanbetaling (4);Aanbetaling - factuur 757 van 23-05-2025.;-1;1077.88;prijs
2025-08-19;1403;Rolluik (RollSUPER) (20064);Breedte: 1985 mm<p>Hoogte:&nbsp, 1420 mm</p><p>Kastmaat: 170 mm (schuin)</p><p>Kleur Omvatting: RAL 7016</p><p>Kleur Pan;2;1164;stuks
2025-08-19;1403;Rolluik (RollSUPER) (20064);Breedte: 2470 mm<p>Hoogte: &nbsp,1955 mm</p><p>Kastmaat: 205 mm (schuin)</p><p>Kleur Omvatting: RAL 7016</p><p>Kleur Pan;1;1163.64;stuks
2025-08-19;1403;Rolluik (RollSUPER) (20064);Breedte: 1840 mm<p>Hoogte: &nbsp,2425 mm</p><p>Kastmaat: 205 mm (schuin)</p><p>Kleur Omvatting: RAL 7016</p><p>Kleur Pan;1;1166.12;stuks
2025-08-19;1403;Hoeklijnen (20100);Maten: 20x50x1420mm <span style="font-weight: bold,">2x</span><p>Kleur: Ral 7016</p><p>Materiaal: Aluminium</p>;1;47.11;stuks
2025-08-19;1403;Situo 5 IO (20048);<p>- 5 kanaals afstandsbediening</p>;1;95.04;stuks
2025-08-19;1403;Somfy Connectivity (20211);- Telefoon bediening Somfy motoren.;1;107.44;stuks
2025-08-19;1403;Montage rolluik solar (20241);- Montage<p>- Klein materiaal</p><p>- Afstellen motor</p>;4;123.97;stuks
2025-08-19;1403;Sunelite (20297);Breedte: 6000 mm<p>Uitval: 3000 mm</p><p>Doek kleur: U104</p><p>Systeemkleur: RAL 7016 Mat</p><p>Motor: Somfy IO</p><p>S;1;3860.33;stuks
2025-08-19;1403;Situo 5 VAR A/M IO pure (20045);- Auto &amp, Manuel bedienen voor de verlichting;1;98.35;stuks
2025-08-19;1403;Montage knikarmscherm standaard. (20267);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;206.61;stuks
2025-08-19;1403;Korting (20090);Tijdelijke actie, 15% korting;1;-1447.85;prijs
2025-08-19;1403;Aanbetaling (4);Aanbetaling - factuur 619 van 07-05-2025.;-1;3279.67;prijs
2025-08-19;1404;Suneye (20131);Breedte: 5700 mm<p>Uitval: 2500 mm</p><p>Kleur cassette: RAL 7016 Structuur (antraciet)</p><p>Kleur doek: 8779</p><p>Bed;1;2906.28;stuks
2025-08-19;1404;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;68.18;stuks
2025-08-19;1404;Eolis 3D windsensor IO (20050);- Windbeveiliging in de voorlijst<p>- De windsensor is een hulp stuk hier kunnen geen garantie rechten aan verleend word;1;136.82;stuks
2025-08-19;1404;Somfy Connectivity (20211);- Telefoon bediening Somfy motoren.;1;99.17;stuks
2025-08-19;1404;Montage knikarmscherm standaard. (20267);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;247.93;stuks
2025-08-19;1404;Korting (20090);Tijdelijke actie, 15% korting;1;-518.68;prijs
2025-08-19;1404;Aanbetaling (4);Aanbetaling - factuur 774 van 27-05-2025.;-1;1175.88;prijs
2025-08-19;1405;Suneye (20131);<p><span style="font-weight: bold,">(Advies scherm)</span></p>Breedte: 4900 mm<p>Uitval: 3000 mm</p><p>Kleur cassette: R;1;2846.28;stuks
2025-08-19;1405;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-08-19;1405;Montage knikarmscherm standaard. (20267);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;206.61;stuks
2025-08-19;1405;Korting (20090);<span style="font-weight: bold,">- Samenwerking korting.</span><p><span style="font-weight: 700,">- 50% (€1.885,00,-)<br;1;-1557.02;prijs
2025-08-19;1405;Aanbetaling (4);Aanbetaling - factuur 959 van 21-06-2025.;-1;623.14;prijs
2025-08-19;1406;Houten Markies (20081);<p>Breedte: 2250 mm</p><p>Uitval: 1000 mm</p><p>Kleur bies: Zwart, kunststof</p><p>Kleur Systeem: Ral 9010</p><p>Kleur d;1;1157.85;stuks
2025-08-19;1406;Montage markies (houten kappen) (20260);- montage&nbsp,<p>- klein materiaal</p>;1;206.61;stuks
2025-08-19;1406;Korting (20090);Tijdelijke actie, 15% korting;1;-204.67;prijs
2025-08-19;1406;Aanbetaling (4);Aanbetaling - factuur 911 van 16-06-2025.;-1;463.92;prijs
2025-08-19;1407;Sunbasic Cassette (20114);<p><span style="">Breedte: 5000 mm</span></p><p>Uitval: 3000 mm</p><p>Kleur cassette: RAL 9001</p><p>Kleur doek: U140</p;1;2268.18;stuks
2025-08-19;1407;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;68.18;stuks
2025-08-19;1407;Montage knikarmscherm standaard. (20267);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;206.61;stuks
2025-08-19;1407;Korting (20090);Tijdelijke actie, 15% korting;1;-381.45;prijs
2025-08-19;1407;Aanbetaling (4);Aanbetaling - factuur 873 van 11-06-2025.;-1;864.61;prijs
2025-08-19;1408;Suneye (20131);Breedte: 4600 mm<p>Uitval: 3000 mm</p><p>Kleur cassette: RAL 7016 Structuur (antraciet)</p><p>Kleur doek: U104</p><p>Bed;1;2612.31;stuks
2025-08-19;1408;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;68.18;stuks
2025-08-19;1408;Montage Knikarmscherm uitgebreid. (20237);- Montage d.m.v. chemisch anker, verdiepingsvloer.<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwer;1;247.93;stuks
2025-08-19;1408;Korting (20090);Tijdelijke actie, 15% korting;1;-440;prijs
2025-08-19;1408;Aanbetaling (4);Aanbetaling - factuur 856 van 07-06-2025.;-1;995.37;prijs
2025-08-19;1409;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4050);1;928.92;prijs
2025-08-19;1410;Aanbetaling (4);Aanbetaling Prijsopgaaf Screen doeken (4195);1;191.08;prijs
2025-08-19;1411;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4084);1;4639.34;prijs
2025-08-19;1412;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4149);1;1775.21;prijs
2025-08-19;1413;Aanbetaling (4);Aanbetaling Prijsopgave rolluiken (4001);1;702.48;prijs
2025-08-19;1414;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4069);1;512.68;prijs
2025-08-19;1415;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (3858);1;1091.24;prijs
2025-08-19;1416;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4076);1;1017.19;prijs
2025-08-19;1417;Aanbetaling (4);Aanbetaling Prijsopgave rolluik (4117);1;426.82;prijs
2025-08-19;1418;Aanbetaling (4);Aanbetaling Prijsopgaaf Duo plisse (4144);1;552.06;prijs
2025-08-19;1419;Aanbetaling (4);Aanbetaling Prijsopgave pergola (3931);1;2311.29;prijs
2025-08-19;1420;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4083);1;1695.21;prijs
2025-08-19;1421;Suneye (20131);Breedte: 4340 mm<p>Uitval: 2500 mm</p><p>Kleur cassette: RAL 9001</p><p>Kleur doek: D545</p><p>Bediening: Somfy IO motor;1;2337.19;stuks
2025-08-19;1421;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-08-19;1421;Montage Knikarmscherm uitgebreid. (20237);- Montage d.m.v. chemisch anker, <span style="font-weight: bold,">KOKER MONTAGE</span><p>- Afwerken elektra</p><p>- Klei;1;289.26;stuks
2025-08-19;1421;Korting (20090);Tijdelijke actie, 15% korting;1;-403.31;prijs
2025-08-19;1421;Aanbetaling (4);Aanbetaling - factuur 847 van 07-06-2025.;-1;914.05;prijs
2025-08-19;1422;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4081);1;990.41;prijs
2025-08-19;1423;Aanbetaling (4);Aanbetaling Prijsopgave rolluiken (4163);1;2905.92;prijs
2025-08-19;1424;Aanbetaling (4);Aanbetaling Prijsopgave Screen (4116);1;511.08;prijs
2025-08-20;1425;Aanbetaling (4);Aanbetaling Prijsopgave rolluik (4166);1;433.39;prijs
2025-08-20;1426;Aanbetaling (4);Aanbetaling Prijsopgaaf jaloezieën (4199);1;1413.22;prijs
2025-08-20;1427;Korting (20090);- Dit bedrag mag van de eindfactuur ingehouden worden!;1;-144.63;prijs
2025-08-21;1428;Huur (20194);- Frijdastraat 8F;1;1076.72;prijs
2025-08-21;1428;Diverse zonwering. (20212);- Verisure maandeliijks;1;25.7;prijs
2025-08-21;1432;Zip Design (20092);Breedte: 3900 mm<p>Hoogte: 2700 mm</p><p>Kastmaat: 105 mm</p><p>Kleur omvatting: Ral 9001</p><p>Kleur doek: 71818</p><p>;1;1973.55;stuks
2025-08-21;1432;Zip Design (20092);Breedte: 680 mm<p>Hoogte: 2700 mm</p><p>Kastmaat: 105 mm</p><p>Kleur omvatting:Ral 9001</p><p>Kleur doek: 71818</p><p>On;1;1171.07;stuks
2025-08-21;1432;Situo 5 IO (20048);<p>- 5 kanaals afstandsbediening</p>;1;95.04;stuks
2025-08-21;1432;Kokers (20099);- Afmeting&nbsp,<p><span style="">1x 45x45x2x2610&nbsp, &nbsp,</span></p><p><span style="">1x 60x45x2x2610&nbsp, &nbsp,<;1;386.5;stuks
2025-08-21;1432;Montage screen solar (20253);- Montage<p></p><p>- Klein materiaal</p><p>- Afstellen motor</p><p></p>;1;82.64;stuks
2025-08-21;1432;Korting (20090);- 15% korting.;1;-556.24;prijs
2025-08-21;1432;Korting (20090);- Zoals besproken.;1;-218.68;prijs
2025-08-21;1432;Aanbetaling (4);Aanbetaling - factuur 692 van 16-05-2025.;-1;1173.55;prijs
2025-08-21;1429;Sunelite (20297);Breedte: 4300 mm<p>Uitval: 3000 mm</p><p>Doek kleur: 8919</p><p>Systeemkleur: Ral 7016 Antraciet grijs</p><p>Motor: Somf;1;3375.66;stuks
2025-08-21;1429;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;68.18;stuks
2025-08-21;1429;Somfy Connectivity (20211);- Telefoon bediening Somfy motoren.;1;115.5;stuks
2025-08-21;1429;Eolis 3D windsensor IO (20050);- Windbeveiliging in de voorlijst<p>- De windsensor is een hulp stuk hier kunnen geen garantie rechten aan verleend word;1;136.82;stuks
2025-08-21;1429;Montage knikarmscherm standaard. (20267);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;206.61;stuks
2025-08-21;1429;Korting (20090);Tijdelijke actie, 15% korting;1;-585.41;prijs
2025-08-21;1429;Aanbetaling (4);Aanbetaling - factuur 910 van 16-06-2025.;-1;1326.94;prijs
2025-08-21;1435;Kokers (20099);<p>ALU PLAT <span style="font-weight: bold,">2x</span></p>- Afmeting 40mm breed x 2400mm Hoog<p>- Kleur Ral 7016 STR</p>;1;89.26;stuks
2025-08-21;1431;Suncontrol 165 zip (20277);Breedte: 2730 mm<p>Uitval: 3200 mm</p><p>Kleur cassette: RAL 7016 Structuur (antraciet)</p><p>Kleur doek: U104</p><p>Bed;1;3400.83;stuks
2025-08-21;1431;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-08-21;1431;Montage serre zonwering. (20307);<p>- Montage</p>- Afwerken elektra<br><p>- Klein materiaal</p><p>- Afstellen zonwering</p>;1;309.92;stuks
2025-08-21;1431;Korting (20090);- Betaald door Yordi.;1;-413.22;prijs
2025-08-21;1431;Aanbetaling (4);Aanbetaling - factuur 844 van 07-06-2025.;-1;1343.8;prijs
2025-08-21;1433;Rolluik (RollSUPER) (20064);Breedte: 2330 mm<p>Hoogte: 1670 mm</p><p>Kastmaat: 170 mm (schuin)</p><p>Kleur Omvatting: RAL <span style="font-weight: ;1;1059.5;stuks
2025-08-21;1433;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-08-21;1433;Montage Rolluik Bedraad (20065);- Montage<p>- Klein materiaal</p><p>- Afstellen motor</p>;1;123.97;stuks
2025-08-21;1433;Korting (20090);<span style="font-weight: bold,">- 15% korting</span>;1;-177.69;prijs
2025-08-21;1433;Aanbetaling (4);Aanbetaling - factuur 931 van 18-06-2025.;-1;402.31;prijs
2025-08-21;1434;Dubbele Plisséhordeur Unilux (20083);<p><span style="">Breedte: 1310 mm</span></p><p>Hoogte: 2140 mm</p><p>Kleur: RAL 9010</p><p>Kleur gaas: Zwart</p><p>Mont;1;842.15;stuks
2025-08-21;1434;Montage plisséhordeur dubbel (20265);- Montage Plisséhordeur<p>- Klein materiaal</p>;1;74.38;stuks
2025-08-21;1434;Korting (20090);Tijdelijke actie, 15% korting;1;-138.02;prijs
2025-08-21;1434;Aanbetaling (4);Aanbetaling - factuur 1253 van 29-07-2025.;-1;311.4;prijs
2025-08-21;1430;Markies (20147);<p><span style="font-weight: bold,">Markiezen Nederland, aluminium markies.</span></p><p>Breedte: 4100 mm</p><p>Uitval: ;1;3083.47;stuks
2025-08-21;1430;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-08-21;1430;Montage markies (aluminium kappen) (20259);- montage<p>- klein materiaal</p>;1;206.61;stuks
2025-08-21;1430;Pergola Zip P350 (20291);Breedte: 5000mm<p>Uitval: 2000mm</p><p>Systeem kleur: Ral 7016 STR</p><p>Doek kleur: 8555</p><p>Staanders: 2 stuks, 1500;1;5321.49;prijs
2025-08-21;1430;Hoeklijnen (20100);Maten: 40x100x4x100mm <span style="font-weight: bold,">2x</span><p>Kleur: Ral 9010</p><p>Materiaal: Aluminium</p>;1;35.54;stuks
2025-08-21;1430;Montage Pergola (20292);- Montage Pergola<p>- Klein materiaal</p><p>- Afstellen</p><p>- Elektra afwerken</p>;1;450;prijs
2025-08-21;1430;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-08-21;1430;Somfy Connectivity (20211);- Telefoon bediening Somfy motoren.;1;107.44;stuks
2025-08-21;1430;Hoogwerk lift (20157);- Transport naar de bovenste verdieping.;1;250;stuks
2025-08-21;1430;Korting (20090);<span style="font-weight: bold,">Tijdelijke actie, 20% korting</span>;1;-1975.21;prijs
2025-08-21;1430;Korting (20090);- Extra korting;1;-165.29;prijs
2025-08-21;1430;Aanbetaling (4);Aanbetaling - factuur 648 van 10-05-2025.;-1;2975.2;prijs
2025-08-21;1437;Suneye (20131);Breedte: 4700 mm<p>Uitval: 3000 mm</p><p>Kleur cassette: RAL 7016 Structuur (antraciet)</p><p>Kleur doek: 1400/704</p><p;1;2846.28;stuks
2025-08-21;1437;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-08-21;1437;Eolis 3D windsensor IO (20050);- Windbeveiliging in de voorlijst<p>- De windsensor is een hulp stuk hier kunnen geen garantie rechten aan verleend word;1;127.27;stuks
2025-08-21;1437;Montage knikarmscherm standaard. (20267);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;206.61;stuks
2025-08-21;1437;Korting (20090);Tijdelijke actie, 15% korting<p><br></p><p>De buurman zal volgende week beslissen, als hij akkoord is zal ik de opdracht;1;-486.78;prijs
2025-08-21;1437;Aanbetaling (4);Aanbetaling - factuur 848 van 07-06-2025.;-1;1102.14;prijs
2025-08-21;1438;Los screendoek (20115);Breedte: 5080mm<br>Uitval: 2700 mm<br>Kleur doek: 8555<p><br></p><p>Klikpees onderlangs</p>;1;859.5;uur
2025-08-21;1438;Montage Doek (20127);Vervangen doek.;1;165.29;stuks
2025-08-21;1438;Aanbetaling (4);Aanbetaling - factuur 1104 van 12-07-2025.;-1;409.92;prijs
2025-08-21;1436;Suneye (20131);Breedte: 5500 mm<p>Uitval: 3000 mm</p><p>Kleur cassette: RAL 7016 Structuur (antraciet)</p><p>Kleur doek: D302</p><p>Bed;1;2978.51;stuks
2025-08-21;1436;Montage knikarmscherm standaard. (20267);<p>- Zonder uitbouw</p>- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zo;1;206.61;stuks
2025-08-21;1436;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-08-21;1436;Demontage oude knikarmscherm (20097);- Alleen demonteren, klant gaat deze nog ergens anders plaatsen<p><br></p><p><br></p>;1;41.98;stuks
2025-08-21;1436;Korting (20090);<span style="font-weight: bold,">20% korting tijdelijke actie (OP=OP)</span>;1;-496.69;prijs
2025-08-21;1436;Aanbetaling (4);Aanbetaling - factuur 999 van 28-06-2025.;-1;1124.96;prijs
2025-08-22;1439;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4176);1;4132.23;prijs
2025-08-22;1441;Aanbetaling (4);Aanbetaling Prijsopgaaf Sonty. (4022);1;2007.27;prijs
2025-08-22;1442;Aanbetaling (4);Aanbetaling Prijsopgaaf Sonty. (4197);1;1555.37;prijs
2025-08-22;1443;Aanbetaling (4);Aanbetaling Prijsopgave rolluiken (4000);1;1354.38;prijs
2025-08-22;1444;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4061);1;1125.57;prijs
2025-08-22;1445;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4064);1;1032.06;prijs
2025-08-22;1446;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4077);1;887.6;prijs
2025-08-22;1448;Aanbetaling (4);Aanbetaling Prijsopgave rolluiken (4128);1;831.41;prijs
2025-08-22;1449;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4093);1;755.71;prijs
2025-08-22;1450;Aanbetaling (4);Aanbetaling Prijsopgave rolluiken (4131);1;726.28;prijs
2025-08-22;1451;Aanbetaling (4);Aanbetaling Offerte screen (4190);1;589.29;prijs
2025-08-22;1452;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4068);1;569.92;prijs
2025-08-22;1453;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (3831);1;565.28;prijs
2025-08-22;1454;Aanbetaling (4);Aanbetaling Prijsopgaaf Sonty. (4217);1;361.65;prijs
2025-08-22;1455;Aanbetaling (4);Aanbetaling Prijsopgaaf Plisse hordeur. (4213);1;310.75;prijs
2025-08-22;1456;Aanbetaling (4);Aanbetaling Prijsopgaaf Sonty. (4124);1;226.78;prijs
2025-08-22;1440;Suneye XL (20136);Breedte: 7000mm<p>Uitval: 3000mm</p><p>Kleur cassette:&nbsp,<span style="">RAL 7016 Structuur (antraciet)</span></p><p>K;1;4512.4;stuks
2025-08-22;1440;Suneye (20131);Breedte: 4430 mm<p>Uitval: 3000 mm</p><p>Kleur cassette: RAL 7016 Structuur (antraciet)</p><p>Kleur doek: U410</p><p>Bed;1;2466.94;stuks
2025-08-22;1440;Montage knikarmscherm standaard. (20267);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;2;206.61;stuks
2025-08-22;1440;Somfy Connectivity (20211);- Telefoon bediening Somfy motoren.;1;107.44;stuks
2025-08-22;1440;Diverse zonwering. (20212);- HWA materiaal, 8x 45 graden bochten en 3 meter buis, 2 beugels.<p>- Het aanpassen van 2 x een HWA.</p>;1;161.16;prijs
2025-08-22;1440;Korting (20090);- 20% korting;1;-1532.23;prijs
2025-08-22;1440;Aanbetaling (4);Aanbetaling - factuur 803 van 31-05-2025.;-1;2451.57;prijs
2025-08-22;1447;Suncube 150 (20150);Type: Uitvalscherm<p>Breedte: 4000 mm</p><p>Uitval: 1150 mm</p><p>Systeemkleur: Ral 9001</p><p>Doekcode:&nbsp, Oranje</p;1;1465.29;stuks
2025-08-22;1447;Montage uitvalscherm (20250);<p>- Montage</p>- Afwerken elektra<br><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;206.61;stuks
2025-08-22;1447;Korting (20090);Tijdelijke actie, 15% korting;1;-251.24;prijs
2025-08-22;1447;Aanbetaling (4);Aanbetaling - factuur 776 van 27-05-2025.;-1;568.26;prijs
2025-08-23;1458;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4086);1;621.49;prijs
2025-08-23;1457;Aanbetaling (4);Aanbetaling Prijsopgave knikarmscherm & rolluiken (4139);1;1674.04;prijs
2025-08-23;1459;Zip Design (20092);Breedte: 3400 mm<p>Hoogte: 2550 mm</p><p>Kastmaat: 110 mm</p><p>Kleur omvatting: Ral 7016 STR</p><p>Kleur doek: 71818</p;-1;1755.37;stuks
2025-08-23;1459;Uitvulprofielen 10mm (20163);- Uitvulprofielen achter de geleiders<p>- RAL 7016 (antraciet)</p><p><br></p><p>- 1x 2415mm</p><p>- 1x 2200mm</p>;-1;64.46;stuks
2025-08-23;1459;Situo 5 IO (20048);<p>- 5 kanaals afstandsbediening</p><p><br></p><p>- Omwisselen met situo 1</p>;-1;95.04;stuks
2025-08-23;1459;Montage screen solar (20253);- Montage<p></p><p>- Klein materiaal</p><p>- Afstellen motor</p><p></p>;-1;123.97;stuks
2025-08-23;1459;Korting (20090);<span style="font-weight: bold,">- korting</span>;-1;-352.06;prijs
2025-08-26;1460;Zip Design (20092);Breedte: 1890 mm<p>Hoogte: 1580 mm</p><p>Kastmaat: 105 mm</p><p>Kleur omvatting: 9010</p><p>Kleur doek: 70818</p><p>Onde;2;1189.26;stuks
2025-08-26;1460;Montage screen solar (20253);- Montage<p>- Klein materiaal</p><p>- Afstellen motor</p>;2;123.97;stuks
2025-08-26;1460;Los screendoek (20115);Breedte: 690mm<p>Hoogte: 1470mm</p><p>Doek: 70818</p><p><br></p><p>Romdom zoomband.</p><p>Inclusief montage</p>;1;147.93;uur
2025-08-26;1460;Situo 5 IO (20048);<p>- 5 kanaals afstandsbediening</p>;1;95.04;stuks
2025-08-26;1460;Korting (20090);Tijdelijke actie, 15% korting<p><br></p><p>PRIJS MET HOOGWERKER EN SCHAKELAAR: €3.014,00,-</p>;1;-430.58;prijs
2025-08-26;1460;Korting (20090);<span style="font-weight: bold,">Coulance korting!</span>;1;-206.61;prijs
2025-08-26;1460;Aanbetaling (4);Aanbetaling - factuur 508 van 18-04-2025.;-1;975.54;prijs
2025-08-26;1461;Roma geëxrudeerd rolluik (20305);Breedte: 2375 mm<p>Hoogte:&nbsp, 1210 mm</p><p>Kastmaat (Schuin): 160 mm&nbsp,</p><p>Kasttype: Quaddro, Vierkant</p><p>K;1;1445.45;stuks
2025-08-26;1461;Montage rolluik solar (20241);- Montage<p>- Klein materiaal</p><p>- Afstellen motor</p>;1;123.97;stuks
2025-08-26;1461;Diverse zonwering. (20212);<span style="font-weight: bold,">- Verplaatsen rolluik van voor na achter!</span>;1;144.63;prijs
