datum;factuur;product;omschrijving;aantal;prijs;eenheid
2025-07-29;1240;Hoeklijnen (20100);Maten: 80x40x2.0x700mm<p>Kleur: Ral 7022</p><p>Materiaal: Aluminium</p>;1;72;stuks
2025-07-29;1240;Korting (20090);Tijdelijke actie, 15% korting;1;-214.93;prijs
2025-07-29;1240;Aanbetaling (4);Aanbetaling - factuur 784 van 28-05-2025.;-1;490.16;prijs
2025-07-29;1241;Plisse hordeur Toppoint. (20306);<p><span style="font-weight: bold,">Dubbele deur.</span></p><p>Breedte: 1960 mm</p><p>Hoogte: 2420 mm</p><p>Kleur: RAL 9;1;825.62;stuks
2025-07-29;1241;Montage plisséhordeur dubbel (20265);- Montage Plisséhordeur<p>- Klein materiaal</p>;1;74.38;stuks
2025-07-29;1241;Korting (20090);- 15% tijdelijke actie.;1;-135.54;prijs
2025-07-29;1241;Aanbetaling (4);Aanbetaling - factuur 802 van 30-05-2025.;-1;305.78;prijs
2025-07-29;1242;Sunbasic Cassette (20114);Breedte: 5500 mm<p>Uitval: 2500 mm</p><p>Kleur cassette: RAL 7016 Structuur (antraciet)</p><p>Kleur doek: U406</p><p>Bed;1;2220.66;stuks
2025-07-29;1242;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-07-29;1242;Montage Knikarmscherm uitgebreid. (20237);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;247.93;stuks
2025-07-29;1242;Takelen Zonwering (20098);- Omhoog takelen van de zonwering.;1;123.97;stuks
2025-07-29;1242;Los screendoek (20115);Kleur doek: 71818<p>- 960x2280 2x</p><p>- 770x2060 2x</p><p>- 800x2060</p><p>- 1010x2880 2x</p><p>- 1060x2280</p><p><br>;1;1309.92;uur
2025-07-29;1242;Tahoma (20079);- app bediening voor somfy motoren.;1;247.93;stuks
2025-07-29;1242;Montage Doek (20127);- Inzetten Tourniquets<p>- Montage van de doeken</p>;8;49.59;stuks
2025-07-29;1242;Korting (20090);<span style="font-weight: bold,">- 15% korting</span>;1;-691.76;prijs
2025-07-29;1242;Eolis 3D windsensor IO (20050);- Windbeveiliging in de voorlijst<p>- De windsensor is een hulp stuk hier kunnen geen garantie rechten aan verleend word;2;123.14;stuks
2025-07-29;1242;Korting (20090);;1;-1954.57;prijs
2025-07-29;1243;Inklemhor Unilux (20076);<p><span style="font-weight: bold,">INKLEM UNIT PLISSE</span></p><p><span style="">Breedte (dagmaat): 800 mm</span></p><;1;296.69;stuks
2025-07-29;1243;Montage inklemhor. (20261);- Montage inklemhor.;1;16.53;stuks
2025-07-29;1243;Aanbetaling (4);Aanbetaling - factuur 1054 van 04-07-2025.;-1;125.29;prijs
2025-07-29;1244;Rolluik (RollSUPER) (20064);<p><span style="">Breedte: 2315mm</span></p><p>Hoogte: &nbsp,2580mm</p><p>Kastmaat: 205 mm (schuin)</p><p>Kleur Omvattin;1;1221.6;stuks
2025-07-29;1244;Valse vensterbank  (20109);<p>Eindpunt waar het rolluik op loopt.</p>Materiaal: Aluminium HF geleider<p>Maten: 2315</p><p>Kleur: Ral 7016</p>;1;26.86;stuks
2025-07-29;1244;Montage Rolluik Bedraad (20065);- Montage<p>- Klein materiaal</p><p>- Afstellen motor</p>;1;144.63;stuks
2025-07-29;1244;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-07-29;1244;Plisséhordeur Unilux (20106);<p><span style="">Breedte: 1745mm</span></p><p>Hoogte: 2420mm</p><p>Kleur: RAL 9006 (Zilvergrijs)</p><p>Kleur gaas: Zwar;1;610.74;stuks
2025-07-29;1244;Kokers (20099);- Afmeting 25x40x2x2325<p>- Kleur Ral 9006 Zilvergrijs</p><p>- Materiaal Aluminium&nbsp,</p>;1;78;stuks
2025-07-29;1244;Korting (20090);- 15% tijdelijke actie.;1;-322.33;prijs
2025-07-29;1244;Aanbetaling (4);Aanbetaling - factuur 771 van 27-05-2025.;-1;728.59;prijs
2025-07-29;1245;Rolluik (RollSUPER) (20064);Breedte: 2140mm<p>Hoogte: &nbsp,1640mm</p><p>Kastmaat: 170 mm (schuin)</p><p>Kleur Omvatting: &nbsp,Wit</p><p>Kleur Pant;2;1022.31;stuks
2025-07-29;1245;Montage rolluik solar (20241);- Montage<p>- Klein materiaal</p><p>- Afstellen motor</p>;2;107.44;stuks
2025-07-29;1245;Valse vensterbank  (20109);<p>Eindpunt waar het rolluik op loopt.</p>Materiaal: HF geleider<p>Maten: 2140mm <span style="font-weight: bold,">2x</sp;2;49.42;stuks
2025-07-29;1245;Zip Design (20092);Breedte: 1450 mm<p>Hoogte: 1750 mm</p><p>Kastmaat: 105 mm</p><p>Kleur omvatting: Ral 9010</p><p>Kleur doek: 71818</p><p>;1;1137.19;stuks
2025-07-29;1245;Montage screen solar (20253);- Montage<p></p><p>- Klein materiaal</p><p>- Afstellen motor</p><p></p>;1;107.44;stuks
2025-07-29;1245;Smoove Origin IO (1-weg) (20043);- wandschakelaar;3;76.86;stuks
2025-07-29;1245;Korting (20090);- 15% tijdelijke actie.;1;-575.21;prijs
2025-07-29;1245;Aanbetaling (4);Aanbetaling - factuur 709 van 19-05-2025.;-1;1303.34;prijs
2025-07-29;1246;Voorrijkosten (20088);;1;45.45;prijs
2025-07-29;1246;gewerkte uren Sonty (20089);- Rollui hersteld;1;52.5;uur
2025-07-29;1247;Rolluik (RollSUPER) (20064);Breedte: 1760mm<p>Hoogte:&nbsp, 1450mm</p><p>Kastmaat: 170 mm (schuin)</p><p>Kleur Omvatting: Wit</p><p>Kleur Pantser: W;1;949.59;stuks
2025-07-29;1247;Valse vensterbank  (20109);<p>Eindpunt waar het rolluik op loopt.</p>Materiaal: Hf geleider<p>Maten: 1760</p><p>Kleur: Wit</p>;1;28.1;stuks
2025-07-29;1247;Montage rolluik solar (20241);- Montage<p>- Klein materiaal</p><p>- Afstellen motor</p>;1;99.17;stuks
2025-07-29;1247;Inklemhor Unilux (20076);<p><span style="">Breedte (dagmaat): 750 mm</span></p><p>Hoogte (dagmaat): 1220 mm</p><p>Type kozijn: Dagmaat</p><p>Syst;2;139.67;stuks
2025-07-29;1247;Plisséhordeur Unilux (20106);<p><span style="">Breedte: 960 mm</span></p><p>Hoogte: 2440 mm</p><p>Kleur: RAL 9010 (wit)</p><p>Kleur gaas: Zwart</p><p;1;437.19;stuks
2025-07-29;1247;Montage Plisséhordeur enkel. (20264);- Montage Plisséhordeur<p>- Klein materiaal</p>;1;61.98;stuks
2025-07-29;1247;Korting (20090);- 15% korting;1;-278.51;prijs
